pane_name,category_id,source_id,thickness,solar_transmittance,front_solar_reflectance,back_solar_reflectance,visible_transmittance,front_visible_reflectance,back_visible_reflectance,infrared_transmittance,front_infrared_reflectance,back_infrared_reflectance,conductivity,region_id,source,description,nfrc_id,colour,data_type,use_flipped,igdb_name,spectral_data
GLASS_TEMPERED_010,1,,10,0.75,0.07,0.07,0.86,0.08,0.08,0,0.16,0.16,1.00,315,Representative Vietnamese apartment opening glazing dataset,Tempered glass 10 mm pane for logia/balcony glass door. Optical values are representative proxy values.,-1,16777215,1-Broadband,0,N/A,-
GLASS_TEMPERED_008,1,,8,0.78,0.07,0.07,0.88,0.08,0.08,0,0.16,0.16,1.00,315,Representative Vietnamese apartment opening glazing dataset,Tempered glass 8 mm pane for typical apartment window. Optical values are representative proxy values.,-1,16777215,1-Broadband,0,N/A,-
