glazing_name,category_id,definition_method,source,region_id,description,colour,layers,u_value,visible_transmittance,solar_transmittance_or_shgc,direct_solar_transmittance,mat_1_ref,mat_2_ref,mat_3_ref,mat_4_ref,mat_5_ref,mat_6_ref,mat_7_ref,flip_1,flip_2,flip_3,flip_4,flip_5,flip_6,flip_7,matdef_1,altmat_1,matdef_3,altmat_3,matdef_5,altmat_5,matdef_7,altmat_7,frame_fraction,cost_per_area,is_display_window,hide_in_lists,is_diffusing,diffuse_fraction,using_enhanced_surface_coeffs,hci,radi,sri,hco,rado,sro,notes
G_LOGIA_TEMP_010_SIMPLE,1,2-Simple,Representative Vietnamese apartment opening glazing dataset,315,"Cua kinh logia ban cong - 2-Simple glazing, kinh cuong luc 10 mm proxy",16777215,,5.56,0.86,0.76,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,,,,"Converted to DesignBuilder 2-Simple. Uses U-value, SHGC proxy and VT only; pane/material references intentionally left blank."
G_WINDOW_TEMP_008_SIMPLE,1,2-Simple,Representative Vietnamese apartment opening glazing dataset,315,"Cua so kinh - 2-Simple glazing, kinh cuong luc 8 mm proxy",16777215,,5.62,0.88,0.78,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,,,,"Converted to DesignBuilder 2-Simple. Uses U-value, SHGC proxy and VT only; pane/material references intentionally left blank."
